id,api,well_name,county,state,web_well_status,web_well_type,web_closest_city,web_oil_bbls,web_oil_prod_month,web_gas_mcf,web_gas_prod_month,web_source_url,web_scraped_at
4,33-053-03413,Wade Federal 5300 21-30H,McKenzie,North Dakota,Active,Oil & Gas,Williston,63,2025-12,12,2025-12,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/wade-federal-5300-21-30h/33-053-03413,2026-02-19 13:40:27
10,33 105 04981,Yukon 5301 41-12T Directional Drillers: D. Bohn/D. Rakstad,McKenzie,North Dakota,Active,Oil & Gas,Springbrook,777,2025-12,4900,2025-12,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/yukon-5301-41-12t-directional-drillers-d-bohn-d-rakstad/33-105-04981,2026-02-19 12:52:07
12,33 105 04981,24-HOUR PRODUCTION RATE,McKenzie,North Dakota,Active,Oil & Gas,Springbrook,777,2025-12,4900,2025-12,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/24-hour-production-rate/33-105-04981,2026-02-19 12:52:13
16,33 105 04981,24-HOUR PRODUCTION RAT E,McKenzie,North Dakota,Active,Oil & Gas,Springbrook,777,2025-12,4900,2025-12,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/24-hour-production-rat-e/33-105-04981,2026-02-19 12:52:21
37,33 105 04981,24-HOUR PRODUCTION RATE,McKenzie,North Dakota,Active,Oil & Gas,Springbrook,777,2025-12,4900,2025-12,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/24-hour-production-rate/33-105-04981,2026-02-19 12:53:17
38,33-053-05845,24-HOUR PRODUCTION RATE,McKenzie,North Dakota,Active,Oil & Gas,Williston,967,2025-12,4100,2025-12,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/24-hour-production-rate/33-053-05845,2026-02-19 12:53:19
39,33-053-05849,24-HOUR PRODUCTION RATE,McKenzie,North Dakota,Active,Oil & Gas,Williston,1000,2025-12,211,2025-12,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/24-hour-production-rate/33-053-05849,2026-02-19 12:53:24
41,3305305924,24-HOUR PRODUCTION RAT E,McKenzie,North Dakota,Active,Oil & Gas,Williston,275,2025-12,2500,2025-12,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/24-hour-production-rat-e/33-053-05924,2026-02-19 12:53:29
46,3305305924,24-HOUR PRODUCTION RATE,McKenzie,North Dakota,Active,Oil & Gas,Williston,275,2025-12,2500,2025-12,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/24-hour-production-rate/33-053-05924,2026-02-19 12:53:49
47,3305305924,24-HOUR PRODUCTION RAT E,McKenzie,North Dakota,Active,Oil & Gas,Williston,275,2025-12,2500,2025-12,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/24-hour-production-rat-e/33-053-05924,2026-02-19 12:53:52
52,33-053-06022,24-HOUR PRODUCTION RATE,McKenzie,North Dakota,Active,Oil & Gas,Williston,248,2025-12,1300,2025-12,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/24-hour-production-rate/33-053-06022,2026-02-19 12:54:04
53,33-053-06023,Qtr-Qtr Section Range County,McKenzie,North Dakota,Active,Oil & Gas,Williston,321,2025-12,1200,2025-12,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/qtr-qtr-section-range-county/33-053-06023,2026-02-19 12:54:15
54,33-053-06024,24-HOUR PRODUCTION RATE,McKenzie,North Dakota,Active,Oil & Gas,Williston,135,2025-12,770,2025-12,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/24-hour-production-rate/33-053-06024,2026-02-19 12:54:18
61,33-053-06055,Spacing Unit Description,McKenzie,North Dakota,Active,Oil & Gas,Williston,185,2025-12,451,2025-12,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/spacing-unit-description/33-053-06055,2026-02-19 12:54:33
62,33-053-06056,Otr-Otr,McKenzie,North Dakota,Active,Oil & Gas,Williston,285,2025-12,1100,2025-12,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/otr-otr/33-053-06056,2026-02-19 12:54:35
67,33-053-06225,Spacing Unit Descrip.tion,McKenzie,North Dakota,Active,Oil & Gas,Williston,158,2025-12,743,2025-12,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/spacing-unit-descrip-tion/33-053-06225,2026-02-19 12:54:49
70,33-053-06243,24-HOUR PRODUCTION RATE,McKenzie,North Dakota,Active,Oil & Gas,Williston,206,2025-12,1900,2025-12,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/24-hour-production-rate/33-053-06243,2026-02-19 12:55:04
71,33-053-06548,Spacing unlt Description,McKenzie,North Dakota,Active,Oil & Gas,Williston,1800,2025-12,4200,2025-12,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/spacing-unlt-description/33-053-06548,2026-02-19 12:55:07
72,33-053-06549,24-HOUR PRODUCTION RATE,McKenzie,North Dakota,Active,Oil & Gas,Williston,711,2025-12,3900,2025-12,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/24-hour-production-rate/33-053-06549,2026-02-19 12:55:10
74,33-053-08946,24-HOUR PRODUCTION RATE,McKenzie,North Dakota,Active,Oil & Gas,Williston,511,2025-12,1700,2025-12,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/24-hour-production-rate/33-053-08946,2026-02-19 12:55:14
